Number of Bills: 5843
29 	HB 	Thompson Senfronia, Huberty, Collier, Cook, Frullo 	Relating to prostitution and the trafficking of persons, civil racketeering related to trafficking, the prosecution of and punishment for certain sexual offenses and offenses involving or related to trafficking, reimbursement of certain costs for criminal victims who are children, and the release and reporting of certain information relating to a child; increasing a criminal penalty; creating a criminal offense. 	04/07/2017 	H 	Committee report sent to Calendars 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB29
31 	HB 	Larson 	Relating to the regulation of groundwater. 	04/05/2017 	H 	Reported favorably as substituted 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB31
34 	HB 	Smithee 	Relating to measures to prevent wrongful convictions. 	04/03/2017 	H 	Left pending in committee 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB34
35 	HB 	Cook, Shine 	Relating to the disposition of embryonic and fetal tissue remains; imposing a civil penalty. 	03/08/2017 	H 	Left pending in committee 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB35
39 	HB 	Wu 	Relating to the child protective service functions of the Department of family and Protective Services. 	03/20/2017 	H 	Left pending in committee 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB39
40 	HB 	Simmons 	Relating to the deposit of money received from the federal government and the authority of the comptroller concerning related funds and accounts. 	03/13/2017 	H 	Referred to Appropriations: Mar 13 2017  3:28PM  	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB40
41 	HB 	White, Faircloth 	Relating to the sale of fireworks on and before the Juneteenth holiday. 	04/10/2017 	H 	Scheduled for public hearing on . . . 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB41
42 	HB 	Romero Jr. 	Relating to a franchise tax credit for certain taxable entities offering postsecondary tuition assistance. 	03/08/2017 	H 	Left pending in committee 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB42
43 	HB 	Flynn, Coleman, Murphy, Huberty 	Relating to the public retirement systems of certain municipalities. 	04/05/2017 	H 	Reported favorably as substituted 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB43
44 	HB 	Keough, Metcalf, Bell 	Relating to a limitation on the maximum appraised value of real property for ad valorem tax purposes of 105 percent of the appraised value of the property for the preceding tax year. 	02/13/2017 	H 	Referred to Ways &amp; Means: Feb 13 2017  3:06PM  	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB44
45 	HB 	Flynn, Leach, Burkett, Parker, Laubenberg 	Relating to the application of foreign laws and foreign forum selection in this state. 	04/04/2017 	H 	Left pending in committee 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB45
46 	HB 	Martinez "Mando" 	Relating to the establishment of a public law school in the Rio Grande Valley. 	02/13/2017 	H 	Referred to Higher Education: Feb 13 2017  3:06PM  	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB46
47 	HB 	Guillen, Alvarado 	Relating to the status of powdered alcohol as an alcoholic beverage for purposes of the Alcoholic Beverage Code. 	04/03/2017 	H 	Reported favorably as substituted 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB47
48 	HB 	Romero Jr. 	Relating to the electronic completion of an application for a ballot to be voted by mail. 	02/13/2017 	H 	Referred to Elections: Feb 13 2017  3:06PM  	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB48
49 	HB 	Guillen 	Relating to the prosecution of the offense of improper relationship between educator and student. 	03/14/2017 	H 	Referred directly to s/c on Educator Quality by chair 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB49
50 	HB 	White, Bernal, Canales 	Relating to the discharge or waiver of fines and costs imposed on indigent defendants. 	02/13/2017 	H 	Referred to Criminal Jurisprudence: Feb 13 2017  3:06PM  	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB50
51 	HB 	Guillen 	Relating to the management of commercial oyster boats in this state. 	03/28/2017 	H 	Left pending in committee 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB51
52 	HB 	Metcalf 	Relating to the enforcement of state and federal laws governing immigration and the duties of law enforcement agencies concerning arrested persons and certain persons lawfully detained. 	02/14/2017 	H 	Referred to State Affairs: Feb 14 2017 11:25AM  	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB52
53 	HB 	Romero Jr., Capriglione 	Relating to certain limitations on settlement agreements with a governmental unit. 	03/24/2017 	H 	Committee report sent to Calendars 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB53
54 	HB 	Martinez "Mando", Vo 	Relating to the salary paid to certain professional employees of public schools. 	02/13/2017 	H 	Referred to Public Education: Feb 13 2017  3:06PM  	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB54
55 	HB 	Guillen 	Relating to a sales and use tax exemption for certain feminine hygiene products for a limited period. 	02/13/2017 	H 	Referred to Ways &amp; Means: Feb 13 2017  3:06PM  	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB55
56 	HB 	Flynn, White, Springer, Guillen, Metcalf 	Relating to the carrying of a handgun by a first responder engaged in the actual discharge of the first responder's duties. 	04/07/2017 	H 	Comte report filed with Committee Coordinator 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB56
57 	HB 	Flynn, Burkett, White, Minjarez, Rodriguez Eddie 	Relating to the regulation of raw milk and raw milk products. 	02/13/2017 	H 	Referred to Public Health: Feb 13 2017  3:06PM  	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB57
58 	HB 	White 	Relating to the creation of a specialty court for certain first-time marihuana possession offenders; imposing a fee for participation. 	02/20/2017 	H 	Referred to Criminal Jurisprudence: Feb 20 2017  3:08PM  	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB58
59 	HB 	Guillen 	Relating to certain lottery prize winners' choice to remain anonymous. 	04/03/2017 	H 	Left pending in committee 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB59
60 	HB 	Romero Jr. 	Relating to requiring a credit access business to verify the vehicle identification number used to obtain a motor vehicle title loan. 	02/13/2017 	H 	Referred to Investments &amp; Financial Services: Feb 13 2017  3:06PM  	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB60
61 	HB 	Guillen 	Relating to consideration under the public school accountability system of performance on assessment instruments by certain students formerly receiving special education services. 	03/21/2017 	H 	Left pending in committee 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB61
62 	HB 	Craddick, Cook, Lucio III, Davis Yvonne, Wu 	Relating to the use of a wireless communication device while operating a motor vehicle; creating a criminal offense; modifying existing criminal penalties. 	03/20/2017 	S 	Received from the House 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB62
63 	HB 	Davis Sarah, Zerwas 	Relating to the operations of the Cancer Prevention and Research Institute of Texas. 	04/04/2017 	H 	Reported favorably as substituted 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB63
64 	HB 	Dutton 	Relating to abolishing the death penalty. 	02/13/2017 	H 	Referred to Criminal Jurisprudence: Feb 13 2017  3:06PM  	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB64
65 	HB 	Krause 	Relating to the waiting period for a divorce on the grounds of insupportability. 	03/30/2017 	H 	Committee report sent to Calendars 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB65
66 	HB 	Guillen, Blanco 	Relating to determining eligibility for a Texas Armed Services Scholarship and to the appointment by certain elected officials of students to receive that scholarship. 	04/04/2017 	H 	Committee report sent to Calendars 	http://www.legis.state.tx.us/BillLookup/History.aspx?LegSess=85R&Bill=HB66
