District,House URL,TLO URL,House Members,First Name,Party
46,http://www.house.state.tx.us/members/member-page/?district=46,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2665,Dukes, Dawnna,D
142,http://www.house.state.tx.us/members/member-page/?district=142,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2650,Dutton, Harold,D
135,http://www.house.state.tx.us/members/member-page/?district=135,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2785,Elkins, Gary,R
23,http://www.house.state.tx.us/members/member-page/?district=23,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2955,Faircloth, Wayne,R
106,http://www.house.state.tx.us/members/member-page/?district=106,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2375,Fallon, Pat,R
148,http://www.house.state.tx.us/members/member-page/?district=148,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2810,Farrar, Jessica,D
2,http://www.house.state.tx.us/members/member-page/?district=2,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2850,Flynn, Dan,R
69,http://www.house.state.tx.us/members/member-page/?district=69,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2385,Frank, James,R
84,http://www.house.state.tx.us/members/member-page/?district=84,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2005,Frullo, John,R
99,http://www.house.state.tx.us/members/member-page/?district=99,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2945,Geren, Charlie,R
120,http://www.house.state.tx.us/members/member-page/?district=120,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A3445,Gervin-Hawkins, Barbara,D
109,http://www.house.state.tx.us/members/member-page/?district=109,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2935,Giddings, Helen,D
97,http://www.house.state.tx.us/members/member-page/?district=97,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2395,Goldman, Craig,R
52,http://www.house.state.tx.us/members/member-page/?district=52,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2080,Gonzales Larry, Larry,R
75,http://www.house.state.tx.us/members/member-page/?district=75,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2410,González Mary, Mary,D
4,http://www.house.state.tx.us/members/member-page/?district=4,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2020,Gooden, Lance,R
41,http://www.house.state.tx.us/members/member-page/?district=41,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A2325,Guerra, Bobby,D
31,http://www.house.state.tx.us/members/member-page/?district=31,http://www.legis.state.tx.us/Members/MemberInfo.aspx?Leg=85&Chamber=H&Code=A3045,Guillen, Ryan,D
